time,CD,CC,CL,Cl,Cm,Cn,X,Y,Z,L,M,N
0.000000,0.078157,-0.027581,-0.006267,0.000000,0.004774,-0.021762,418.116492,569.246924,-129.352273,0.000000,295.599865,-89.828635
0.001000,0.078157,-0.051026,-0.011595,-0.000000,0.008732,-0.040260,418.116492,1053.130101,-239.307151,0.000000,540.686728,-166.186650
0.002000,0.078157,-0.070955,-0.016123,-0.000000,0.012097,-0.055984,418.116492,1464.448947,-332.772943,0.000000,749.019804,-231.093826
0.003000,0.078157,-0.087895,-0.019973,-0.000000,0.014957,-0.069351,418.116492,1814.083601,-412.221986,0.000000,926.109873,-286.267078
0.004000,0.078157,-0.102295,-0.023245,-0.000000,0.017388,-0.080712,418.116492,2111.283029,-479.756071,-0.000000,1076.641776,-333.165915
0.005000,0.078157,-0.114535,-0.026026,-0.000000,0.019455,-0.090370,418.116491,2363.909096,-537.161281,-0.000000,1204.596654,-373.030961
0.006000,0.078157,-0.124940,-0.028391,-0.000000,0.021211,-0.098579,418.116491,2578.645201,-585.956416,-0.000000,1313.359873,-406.916873
0.007000,0.078157,-0.133783,-0.030400,-0.000000,0.022705,-0.105557,418.116490,2761.172379,-627.432437,-0.000000,1405.808960,-435.720133
0.008000,0.078157,-0.141300,-0.032108,-0.000000,0.023974,-0.111488,418.116489,2916.320125,-662.686892,-0.000000,1484.390319,-460.202848
0.009000,0.078157,-0.147690,-0.033560,-0.000000,0.025052,-0.116529,418.116487,3048.193642,-692.652823,-0.000000,1551.183682,-481.012830
0.010000,0.078157,-0.153121,-0.034794,-0.000000,0.025969,-0.120814,418.116485,3160.282545,-718.122986,-0.000000,1607.956084,-498.700748
0.011000,0.078157,-0.157737,-0.035843,-0.000000,0.026749,-0.124456,418.116483,3255.553344,-739.771799,-0.000000,1656.210782,-513.734726
0.012000,0.078157,-0.159552,-0.033881,-0.000000,0.025303,-0.125896,418.116481,3293.020741,-699.270339,-0.000000,1566.702794,-519.675881
0.013000,0.078157,-0.160811,-0.031829,-0.000000,0.023791,-0.126896,418.116478,3319.005440,-656.914501,-0.000000,1473.049601,-523.804594
0.014000,0.078157,-0.161881,-0.030084,-0.000000,0.022505,-0.127746,418.116476,3341.089698,-620.916515,-0.000000,1393.454280,-527.313566
0.015000,0.078157,-0.162791,-0.028602,-0.000000,0.021413,-0.128468,418.116472,3359.858210,-590.323284,-0.000000,1325.809441,-530.295698
0.016000,0.078157,-0.163563,-0.027342,-0.000000,0.020484,-0.129082,418.116469,3375.808232,-564.324266,-0.000000,1268.322890,-532.830000
0.017000,0.078157,-0.164220,-0.026272,-0.000000,0.019695,-0.129604,418.116466,3389.362365,-542.230614,-0.000000,1219.471513,-534.983618
0.018000,0.078157,-0.164778,-0.025362,-0.000000,0.019025,-0.130047,418.116462,3400.880037,-523.456528,-0.000000,1177.960038,-536.813663
0.019000,0.078157,-0.165252,-0.024589,-0.000000,0.018455,-0.130424,418.116458,3410.666351,-507.504596,-0.000000,1142.688641,-538.368612
0.020000,0.078157,-0.165655,-0.023933,-0.000000,0.017971,-0.130744,418.116454,3418.980969,-493.951593,-0.000000,1112.721527,-539.689723
0.021000,0.078157,-0.165997,-0.023375,-0.000000,0.017560,-0.131016,418.116449,3426.044436,-482.437974,-0.000000,1087.263706,-540.812038
0.022000,0.078157,-0.166288,-0.022901,-0.000000,0.017211,-0.131247,418.116445,3432.044402,-472.657902,-0.000000,1065.638938,-541.765373
0.023000,0.078157,-0.166535,-0.022499,-0.000000,0.016914,-0.131443,418.116440,3437.140358,-464.351362,-0.000000,1047.272307,-542.575071
0.024000,0.078157,-0.166745,-0.022157,-0.000000,0.016662,-0.131610,418.116436,3441.467779,-457.297541,-0.000000,1031.675572,-543.262655
0.025000,0.078157,-0.166923,-0.021867,-0.000000,0.016448,-0.131751,418.116431,3445.141902,-451.308591,-0.000000,1018.433380,-543.846438
0.026000,0.078157,-0.167074,-0.021620,-0.000000,0.016267,-0.131871,418.116426,3448.260792,-446.224684,-0.000000,1007.192332,-544.341999
0.027000,0.078157,-0.167202,-0.021411,-0.000000,0.016113,-0.131973,418.116421,3450.907594,-441.910280,-0.000000,997.652736,-544.762550
0.028000,0.078157,-0.167311,-0.021234,-0.000000,0.015982,-0.132060,418.116415,3453.153209,-438.249834,-0.000000,989.559111,-545.119356
0.029000,0.078157,-0.167403,-0.021084,-0.000000,0.015871,-0.132133,418.116410,3455.057664,-435.145473,-0.000000,982.695050,-545.421955
0.030000,0.078157,-0.167481,-0.020956,-0.000000,0.015777,-0.132195,418.116405,3456.672192,-432.513709,-0.000000,976.875949,-545.678488
0.031000,0.078157,-0.167548,-0.020848,-0.000000,0.015697,-0.132248,418.116399,3458.040274,-430.283666,-0.000000,971.945095,-545.895863
0.032000,0.078157,-0.167604,-0.020756,-0.000000,0.015630,-0.132292,418.116394,3459.198967,-428.394993,-0.000000,967.769039,-546.079968
0.033000,0.078157,-0.167651,-0.020679,-0.000000,0.015573,-0.132330,418.116388,3460.179651,-426.796509,-0.000000,964.234619,-546.235789
0.034000,0.078157,-0.167691,-0.020613,-0.000000,0.015525,-0.132362,418.116383,3461.008914,-425.444846,-0.000000,961.245947,-546.367550
0.035000,0.078157,-0.167725,-0.020558,-0.000000,0.015484,-0.132389,418.116377,3461.709455,-424.302991,-0.000000,958.721184,-546.478859
0.036000,0.078157,-0.167754,-0.020511,-0.000000,0.015449,-0.132412,418.116371,3462.300606,-423.339443,-0.000000,956.590678,-546.572787
0.037000,0.078157,-0.167778,-0.020472,-0.000000,0.015420,-0.132431,418.116365,3462.798721,-422.527554,-0.000000,954.795502,-546.651933
0.038000,0.078157,-0.167798,-0.020439,-0.000000,0.015396,-0.132447,418.116360,3463.217777,-421.844511,-0.000000,953.285221,-546.718516
0.039000,0.078157,-0.167816,-0.020411,-0.000000,0.015376,-0.132461,418.116354,3463.569591,-421.271061,-0.000000,952.017263,-546.774416
0.040000,0.078157,-0.167830,-0.020388,-0.000000,0.015358,-0.132472,418.116348,3463.864242,-420.790764,-0.000000,950.955280,-546.821233
0.041000,0.078157,-0.167842,-0.020369,-0.000000,0.015344,-0.132481,418.116342,3464.110500,-420.389395,-0.000000,950.067810,-546.860361
0.042000,0.078157,-0.167852,-0.020352,-0.000000,0.015332,-0.132489,418.116336,3464.315483,-420.055297,-0.000000,949.329082,-546.892931
0.043000,0.078157,-0.167860,-0.020339,-0.000000,0.015322,-0.132496,418.116330,3464.485446,-419.778315,-0.000000,948.716644,-546.919936
0.044000,0.078157,-0.167867,-0.020328,-0.000000,0.015314,-0.132501,418.116323,3464.625553,-419.549979,-0.000000,948.211767,-546.942198
0.045000,0.078157,-0.167872,-0.020319,-0.000000,0.015307,-0.132506,418.116317,3464.740236,-419.363074,-0.000000,947.798499,-546.960420
0.046000,0.078157,-0.167877,-0.020311,-0.000000,0.015302,-0.132509,418.116311,3464.833415,-419.211228,-0.000000,947.462751,-546.975225
0.047000,0.078157,-0.167880,-0.020306,-0.000000,0.015298,-0.132512,418.116305,3464.908133,-419.089450,-0.000000,947.193488,-546.987096
0.048000,0.078157,-0.167883,-0.020301,-0.000000,0.015294,-0.132514,418.116298,3464.967278,-418.993085,-0.000000,946.980413,-546.996494
0.049000,0.078157,-0.167885,-0.020297,-0.000000,0.015292,-0.132516,418.116292,3465.013271,-418.918188,-0.000000,946.814804,-547.003802
0.050000,0.078157,-0.180113,-0.003503,0.000000,0.002822,-0.142169,418.116286,3717.380766,-72.298141,0.000005,174.729484,-586.847558
0.051000,0.078157,-0.183245,0.000941,0.000000,-0.000516,-0.144668,418.116277,3782.020934,19.424884,0.000010,-31.923225,-597.163397
0.052000,0.078157,-0.182594,0.000233,0.000000,-0.000039,-0.144189,418.116266,3768.586981,4.815134,0.000014,-2.440397,-595.186720
0.053000,0.078157,-0.182041,-0.000368,0.000000,0.000365,-0.143782,418.116254,3757.169264,-7.603161,0.000018,22.620021,-593.506713
0.054000,0.078157,-0.181571,-0.000880,0.000000,0.000709,-0.143436,418.116239,3747.465470,-18.158602,0.000021,43.921155,-592.078894
