Mach,mode,real,imag,wn,wd,zeta
0.010000,Phugoid,0.058572,0.149992,0.161023,0.149992,-0.363753
0.010000,Phugoid,0.058572,-0.149992,0.161023,0.149992,-0.363753
0.010000,Phugoid,-0.055928,0.136292,0.147321,0.136292,0.379637
0.010000,Phugoid,-0.055928,-0.136292,0.147321,0.136292,0.379637
0.010000,Dutch Roll,-0.001769,0.058295,0.058322,0.058295,0.030325
0.010000,Dutch Roll,-0.001769,-0.058295,0.058322,0.058295,0.030325
0.010000,Spiral,0.018338,0.000000,0.018338,0.000000,-1.000000
0.010000,Spiral,-0.006068,0.000000,0.006068,0.000000,1.000000
0.020000,Real Mode,0.390601,0.000000,0.390601,0.000000,-1.000000
0.020000,Real Mode,-0.292593,0.000000,0.292593,0.000000,1.000000
0.020000,Phugoid,-0.000567,0.120934,0.120935,0.120934,0.004689
0.020000,Phugoid,-0.000567,-0.120934,0.120935,0.120934,0.004689
0.020000,Dutch Roll,0.031530,0.107948,0.112459,0.107948,-0.280369
0.020000,Dutch Roll,0.031530,-0.107948,0.112459,0.107948,-0.280369
0.020000,Spiral,-0.026818,0.000000,0.026818,0.000000,1.000000
0.020000,Spiral,0.025841,0.000000,0.025841,0.000000,-1.000000
0.030000,Phugoid,-0.001871,0.012241,0.012383,0.012241,0.151111
0.030000,Phugoid,-0.001871,-0.012241,0.012383,0.012241,0.151111
0.030000,Real Mode,-0.823523,0.000000,0.823523,0.000000,1.000000
0.030000,Real Mode,-0.001062,0.000000,0.001062,0.000000,1.000000
0.030000,Dutch Roll,6.516296,30.507236,31.195409,30.507236,-0.208886
0.030000,Dutch Roll,6.516296,-30.507236,31.195409,30.507236,-0.208886
0.030000,Spiral,0.059072,0.000000,0.059072,0.000000,-1.000000
0.030000,Spiral,-0.047551,0.000000,0.047551,0.000000,1.000000
0.040000,Real Mode,1.406059,0.000000,1.406059,0.000000,-1.000000
0.040000,Real Mode,-0.493221,0.000000,0.493221,0.000000,1.000000
