Time,Range,Mx,My,Mz,Tx,Ty,Tz,q1,q2,q3,q4,q,Thrust,fuel mass,delta1,delta2,delta3,delta4
0.000000,20420.577857,0.500500,0.000001,3000.000000,19999.999995,-3999.800000,3999.990005,1.000000,0.000000,0.000000,0.000000,1.000000,2031.200000,49.999594,-0.008174,0.005824,0.008174,-0.005824
0.001000,20420.047995,1.001000,0.000004,3000.000001,19999.999985,-3999.600000,3999.980015,1.000000,0.000000,-0.000000,0.000001,1.000000,2031.200000,49.999188,-0.015122,0.010775,0.015122,-0.010775
0.002000,20419.518129,1.501500,0.000010,3000.000002,19999.999970,-3999.400000,3999.970030,1.000000,0.000000,-0.000001,0.000003,1.000000,2031.200000,49.998781,-0.021028,0.014984,0.021028,-0.014984
0.003000,20418.988260,2.002000,0.000019,3000.000003,19999.999950,-3999.200000,3999.960050,1.000000,0.000000,-0.000001,0.000006,1.000000,2031.200000,49.998375,-0.026049,0.018561,0.026049,-0.018561
0.004000,20418.458387,2.502500,0.000033,3000.000005,19999.999925,-3999.000000,3999.950075,1.000000,0.000000,-0.000002,0.000009,1.000000,2031.200000,49.997969,-0.030316,0.021602,0.030316,-0.021602
0.005000,20417.928511,3.003000,0.000051,3000.000008,19999.999895,-3998.800000,3999.940105,1.000000,0.000000,-0.000002,0.000013,1.000000,2031.200000,49.997563,-0.033944,0.024187,0.033944,-0.024187
0.006000,20417.398631,3.503500,0.000073,3000.000012,19999.999860,-3998.600000,3999.930140,1.000000,0.000000,-0.000003,0.000018,1.000000,2031.200000,49.997156,-0.037027,0.026384,0.037027,-0.026384
0.007000,20416.868748,4.004000,0.000101,3000.000017,19999.999820,-3998.400000,3999.920180,1.000000,0.000000,-0.000004,0.000023,1.000000,2031.200000,49.996750,-0.039648,0.028252,0.039648,-0.028252
0.008000,20416.338862,4.504500,0.000135,3000.000023,19999.999775,-3998.200000,3999.910225,1.000000,-0.000000,-0.000005,0.000028,1.000000,2031.200000,49.996344,-0.041876,0.029839,0.041876,-0.029839
0.009000,20415.808973,5.005000,0.000174,3000.000029,19999.999725,-3998.000000,3999.900275,1.000000,-0.000000,-0.000006,0.000034,1.000000,2031.200000,49.995938,-0.043770,0.031188,0.043770,-0.031188
0.010000,20415.279081,5.505500,0.000220,3000.000037,19999.999670,-3997.800000,3999.890330,1.000000,-0.000000,-0.000007,0.000039,1.000000,2031.200000,49.995531,-0.045379,0.032335,0.045379,-0.032335
0.011000,20414.749186,6.006000,0.000271,3000.000046,19999.999610,-3997.600000,3999.880390,1.000000,-0.000000,-0.000008,0.000045,1.000000,2031.200000,49.995125,-0.046747,0.033310,0.046747,-0.033310
0.012000,20414.219287,6.506500,0.000329,3000.000055,19999.999545,-3997.400000,3999.870455,1.000000,-0.000000,-0.000009,0.000052,1.000000,2031.200000,49.994719,-0.046840,0.034139,0.046840,-0.034139
0.013000,20413.689386,7.007000,0.000394,3000.000066,19999.999475,-3997.200000,3999.860525,1.000000,-0.000000,-0.000010,0.000058,1.000000,2031.200001,49.994313,-0.046775,0.034843,0.046775,-0.034843
0.014000,20413.159482,7.507500,0.000465,3000.000078,19999.999400,-3997.000000,3999.850600,1.000000,-0.000000,-0.000011,0.000064,1.000000,2031.200001,49.993906,-0.046719,0.035441,0.046719,-0.035441
0.015000,20412.629575,8.008000,0.000543,3000.000091,19999.999320,-3996.800000,3999.840680,1.000000,-0.000000,-0.000012,0.000071,1.000000,2031.200001,49.993500,-0.046672,0.035950,0.046672,-0.035950
0.016000,20412.099665,8.508500,0.000627,3000.000105,19999.999235,-3996.600000,3999.830765,1.000000,-0.000000,-0.000013,0.000078,1.000000,2031.200001,49.993094,-0.046632,0.036382,0.046632,-0.036382
0.017000,20411.569752,9.009000,0.000718,3000.000121,19999.999145,-3996.400000,3999.820855,1.000000,-0.000000,-0.000014,0.000084,1.000000,2031.200001,49.992688,-0.046598,0.036749,0.046598,-0.036749
0.018000,20411.039836,9.509500,0.000817,3000.000137,19999.999050,-3996.200000,3999.810950,1.000000,-0.000000,-0.000015,0.000091,1.000000,2031.200001,49.992281,-0.046569,0.037061,0.046569,-0.037061
0.019000,20410.509917,10.010000,0.000922,3000.000155,19999.998950,-3996.000000,3999.801050,1.000000,-0.000000,-0.000016,0.000098,1.000000,2031.200001,49.991875,-0.046545,0.037327,0.046545,-0.037327
0.020000,20409.979996,10.510500,0.001034,3000.000174,19999.998845,-3995.800000,3999.791155,1.000000,-0.000000,-0.000018,0.000105,1.000000,2031.200002,49.991469,-0.046524,0.037552,0.046524,-0.037552
0.021000,20409.450071,11.011000,0.001153,3000.000194,19999.998735,-3995.600000,3999.781265,1.000000,-0.000000,-0.000019,0.000112,1.000000,2031.200002,49.991063,-0.046506,0.037743,0.046506,-0.037743
0.022000,20408.920144,11.511500,0.001280,3000.000215,19999.998620,-3995.400000,3999.771380,1.000000,-0.000000,-0.000020,0.000119,1.000000,2031.200002,49.990656,-0.046491,0.037906,0.046491,-0.037906
0.023000,20408.390214,12.012000,0.001413,3000.000237,19999.998500,-3995.200000,3999.761500,1.000000,-0.000000,-0.000021,0.000126,1.000000,2031.200002,49.990250,-0.046479,0.038044,0.046479,-0.038044
0.024000,20407.860281,12.512500,0.001553,3000.000261,19999.998375,-3995.000000,3999.751625,1.000000,-0.000000,-0.000022,0.000133,1.000000,2031.200002,49.989844,-0.046468,0.038161,0.046468,-0.038161
0.025000,20407.330345,13.013000,0.001701,3000.000285,19999.998245,-3994.800000,3999.741755,1.000000,-0.000000,-0.000024,0.000140,1.000000,2031.200003,49.989438,-0.046458,0.038261,0.046458,-0.038261
0.026000,20406.800406,13.513500,0.001856,3000.000311,19999.998110,-3994.600000,3999.731890,1.000000,-0.000000,-0.000025,0.000147,1.000000,2031.200003,49.989032,-0.046451,0.038345,0.046451,-0.038345
0.027000,20406.270465,14.014000,0.002017,3000.000339,19999.997970,-3994.400000,3999.722030,1.000000,-0.000000,-0.000026,0.000155,1.000000,2031.200003,49.988625,-0.046444,0.038417,0.046444,-0.038417
0.028000,20405.740521,14.514500,0.002187,3000.000367,19999.997825,-3994.200000,3999.712175,1.000000,-0.000000,-0.000027,0.000162,1.000000,2031.200004,49.988219,-0.046438,0.038478,0.046438,-0.038478
0.029000,20405.210573,15.015000,0.002363,3000.000397,19999.997675,-3994.000000,3999.702325,1.000000,-0.000000,-0.000028,0.000169,1.000000,2031.200004,49.987813,-0.046434,0.038530,0.046434,-0.038530
0.030000,20404.680623,15.515500,0.002546,3000.000427,19999.997520,-3993.800000,3999.692480,1.000000,-0.000000,-0.000030,0.000176,1.000000,2031.200004,49.987407,-0.046430,0.038573,0.046430,-0.038573
0.031000,20404.150671,16.016000,0.002737,3000.000459,19999.997360,-3993.600000,3999.682640,1.000000,-0.000000,-0.000031,0.000183,1.000000,2031.200004,49.987000,-0.046426,0.038610,0.046426,-0.038610
0.032000,20403.620715,16.516500,0.002934,3000.000493,19999.997195,-3993.400000,3999.672805,1.000000,-0.000000,-0.000032,0.000190,1.000000,2031.200005,49.986594,-0.046423,0.038642,0.046423,-0.038642
0.033000,20403.090757,17.017000,0.003139,3000.000527,19999.997025,-3993.200000,3999.662975,1.000000,-0.000000,-0.000033,0.000198,1.000000,2031.200005,49.986188,-0.046421,0.038668,0.046421,-0.038668
0.034000,20402.560795,17.517500,0.003352,3000.000563,19999.996850,-3993.000000,3999.653150,1.000000,-0.000000,-0.000034,0.000205,1.000000,2031.200005,49.985782,-0.046419,0.038691,0.046419,-0.038691
0.035000,20402.030831,18.018000,0.003571,3000.000599,19999.996670,-3992.800000,3999.643330,1.000000,-0.000000,-0.000036,0.000212,1.000000,2031.200006,49.985375,-0.046417,0.038710,0.046417,-0.038710
0.036000,20401.500865,18.518500,0.003797,3000.000637,19999.996485,-3992.600000,3999.633515,1.000000,-0.000000,-0.000037,0.000219,1.000000,2031.200006,49.984969,-0.046415,0.038726,0.046415,-0.038726
0.037000,20400.970895,19.019000,0.004031,3000.000677,19999.996295,-3992.400000,3999.623705,1.000000,-0.000000,-0.000038,0.000226,1.000000,2031.200007,49.984563,-0.046414,0.038739,0.046414,-0.038739
