time,tpx,px,mpx,tvx,vx,mbax
0.000000,0.000000,0.016658,0.016537,500.000000,499.999772,0.013421
0.001000,0.500500,0.516658,nan,500.000000,499.999752,-0.019663
0.002000,1.001000,1.016657,nan,500.000000,499.999759,0.006866
0.003000,1.501500,1.516657,nan,500.000000,499.999742,-0.016977
0.004000,2.002000,2.016657,nan,500.000000,499.999750,0.007449
0.005000,2.502500,2.516657,nan,500.000000,499.999751,0.001023
0.006000,3.003000,3.016656,nan,500.000000,499.999743,-0.008177
0.007000,3.503500,3.516656,nan,500.000000,499.999697,-0.046787
0.008000,4.004000,4.016656,nan,500.000000,499.999705,0.008286
0.009000,4.504500,4.516656,nan,499.999999,499.999727,0.021754
0.010000,5.005000,5.016655,nan,499.999999,499.999729,0.001605
0.011000,5.505500,5.516655,nan,499.999999,499.999754,0.024978
0.012000,6.006000,6.016655,nan,499.999999,499.999775,0.021174
0.013000,6.506500,6.516655,nan,499.999998,499.999756,-0.019802
0.014000,7.007000,7.016654,nan,499.999998,499.999745,-0.010413
0.015000,7.507500,7.516654,nan,499.999997,499.999735,-0.010650
0.016000,8.008000,8.016654,nan,499.999997,499.999748,0.013179
0.017000,8.508500,8.516654,nan,499.999996,499.999754,0.005255
0.018000,9.009000,9.016653,nan,499.999995,499.999769,0.014969
0.019000,9.509500,9.516653,nan,499.999994,499.999770,0.001026
0.020000,10.010000,10.016653,nan,499.999993,499.999780,0.009064
0.021000,10.510500,10.516653,nan,499.999992,499.999782,0.002087
0.022000,11.011000,11.016652,nan,499.999991,499.999755,-0.027674
0.023000,11.511500,11.516652,nan,499.999990,499.999737,-0.017914
0.024000,12.012000,12.016652,nan,499.999989,499.999751,0.013829
0.025000,12.512500,12.516652,nan,499.999987,499.999746,-0.004956
0.026000,13.013000,13.016651,nan,499.999986,499.999743,-0.003864
0.027000,13.513500,13.516651,nan,499.999984,499.999729,-0.014394
0.028000,14.014000,14.016651,nan,499.999982,499.999726,-0.003045
0.029000,14.514500,14.516651,nan,499.999980,499.999726,0.000144
0.030000,15.015000,15.016650,nan,499.999978,499.999712,-0.014751
0.031000,15.515500,15.516650,nan,499.999976,499.999722,0.009631
0.032000,16.016000,16.016650,nan,499.999974,499.999700,-0.021781
0.033000,16.516500,16.516649,nan,499.999972,499.999690,-0.010006
0.034000,17.017000,17.016649,nan,499.999970,499.999694,0.003087
0.035000,17.517500,17.516649,nan,499.999967,499.999693,-0.001409
0.036000,18.018000,18.016648,nan,499.999965,499.999692,-0.000738
0.037000,18.518500,18.516648,nan,499.999962,499.999696,0.003385
0.038000,19.019000,19.016648,nan,499.999959,499.999708,0.011881
0.039000,19.519500,19.516648,nan,499.999956,499.999712,0.003192
0.040000,20.019999,20.016647,nan,499.999953,499.999706,-0.006747
0.041000,20.520499,20.516647,nan,499.999950,499.999712,0.006370
