time,tpx,px,tvx,vx,tax,ax
0.000000,10000.000000,10003.496618,220.000000,218.032422,0.000000,-0.000985
0.001000,10000.220000,10003.714650,220.000000,218.032421,0.000000,-0.000985
0.002000,10000.440000,10003.932683,220.000000,218.032420,0.000000,-0.000985
0.003000,10000.660000,10004.150715,220.000000,218.032419,0.000000,-0.000985
0.004000,10000.880000,10004.368747,220.000000,218.032418,0.000000,-0.000985
0.005000,10001.100000,10004.586780,220.000000,218.032417,0.000000,-0.000985
0.006000,10001.320000,10004.804812,220.000000,218.032417,0.000000,-0.000985
0.007000,10001.540000,10005.022845,220.000000,218.032416,0.000000,-0.000985
0.008000,10001.760000,10005.240877,220.000000,218.032415,0.000000,-0.000985
0.009000,10001.980000,10005.458909,220.000000,218.032414,0.000000,-0.000985
0.010000,10002.200000,10005.676942,220.000000,218.032413,0.000000,-0.000985
0.011000,10002.420000,10005.894974,220.000000,218.032412,0.000000,-0.000985
0.012000,10002.640000,10006.113007,220.000000,218.032411,0.000000,-0.000985
0.013000,10002.860000,10006.331039,220.000000,218.032410,0.000000,-0.000985
0.014000,10003.080000,10006.549071,220.000000,218.032409,0.000000,-0.000985
0.015000,10003.300000,10006.767104,220.000000,218.032408,0.000000,-0.000985
0.016000,10003.520000,10006.985136,220.000000,218.032407,0.000000,-0.000985
0.017000,10003.740000,10007.203169,220.000000,218.032406,0.000000,-0.000985
0.018000,10003.960000,10007.421201,220.000000,218.032405,0.000000,-0.000985
0.019000,10004.180000,10007.639234,220.000000,218.032404,0.000000,-0.000985
0.020000,10004.400000,10007.857266,220.000000,218.032403,0.000000,-0.000985
0.021000,10004.620000,10008.075298,220.000000,218.032402,0.000000,-0.000985
0.022000,10004.840000,10008.293331,220.000000,218.032401,0.000000,-0.000985
0.023000,10005.060000,10008.511363,220.000000,218.032400,0.000000,-0.000985
0.024000,10005.280000,10008.729396,220.000000,218.032399,0.000000,-0.000985
0.025000,10005.500000,10008.947428,220.000000,218.032398,0.000000,-0.000985
0.026000,10005.720000,10009.165460,220.000000,218.032397,0.000000,-0.000985
0.027000,10005.940000,10009.383493,220.000000,218.032396,0.000000,-0.000985
0.028000,10006.160000,10009.601525,220.000000,218.032395,0.000000,-0.000985
0.029000,10006.380000,10009.819558,220.000000,218.032394,0.000000,-0.000985
0.030000,10006.600000,10010.037590,220.000000,218.032393,0.000000,-0.000985
0.031000,10006.820000,10010.255622,220.000000,218.032392,0.000000,-0.000985
0.032000,10007.040000,10010.473655,220.000000,218.032391,0.000000,-0.000985
0.033000,10007.260000,10010.691687,220.000000,218.032390,0.000000,-0.000985
0.034000,10007.480000,10010.909719,220.000000,218.032389,0.000000,-0.000985
0.035000,10007.700000,10011.127752,220.000000,218.032388,0.000000,-0.000985
0.036000,10007.920000,10011.345784,220.000000,218.032387,0.000000,-0.000985
0.037000,10008.140000,10011.563817,220.000000,218.032386,0.000000,-0.000985
0.038000,10008.360000,10011.781849,220.000000,218.032385,0.000000,-0.000985
0.039000,10008.580000,10011.999881,220.000000,218.032384,0.000000,-0.000985
0.040000,10008.800000,10012.217914,220.000000,218.032383,0.000000,-0.000985
0.041000,10009.020000,10012.435946,220.000000,218.032382,0.000000,-0.000985
0.042000,10009.240000,10012.653979,220.000000,218.032381,0.000000,-0.000985
0.043000,10009.460000,10012.872011,220.000000,218.032380,0.000000,-0.000985
0.044000,10009.680000,10013.090043,220.000000,218.032379,0.000000,-0.000985
0.045000,10009.900000,10013.308076,220.000000,218.032378,0.000000,-0.000985
0.046000,10010.120000,10013.526108,220.000000,218.032377,0.000000,-0.000985
0.047000,10010.340000,10013.744140,220.000000,218.032376,0.000000,-0.000985
0.048000,10010.560000,10013.962173,220.000000,218.032375,0.000000,-0.000985
0.049000,10010.780000,10014.180205,220.000000,218.032374,0.000000,-0.000985
0.050000,10011.000000,10011.949804,220.000000,218.928546,0.000000,2.037581
0.051000,10011.220000,10012.168734,220.000000,218.930583,0.000000,2.037581
0.052000,10011.440000,10012.387665,220.000000,218.932621,0.000000,2.037581
0.053000,10011.660000,10012.606599,220.000000,218.934659,0.000000,2.037581
0.054000,10011.880000,10012.825534,220.000000,218.936696,0.000000,2.037581
0.055000,10012.100000,10013.044472,220.000000,218.938734,0.000000,2.037581
0.056000,10012.320000,10013.263412,220.000000,218.940771,0.000000,2.037581
0.057000,10012.540000,10013.482354,220.000000,218.942809,0.000000,2.037581
0.058000,10012.760000,10013.701298,220.000000,218.944847,0.000000,2.037581
0.059000,10012.980000,10013.920243,220.000000,218.946884,0.000000,2.037581
0.060000,10013.200000,10014.139191,220.000000,218.948922,0.000000,2.037581
0.061000,10013.420000,10014.358141,220.000000,218.950959,0.000000,2.037581
0.062000,10013.640000,10014.577093,220.000000,218.952997,0.000000,2.037581
0.063000,10013.860000,10014.796047,220.000000,218.955034,0.000000,2.037581
0.064000,10014.080000,10015.015003,220.000000,218.957072,0.000000,2.037581
0.065000,10014.300000,10015.233961,220.000000,218.959110,0.000000,2.037581
0.066000,10014.520000,10015.452922,220.000000,218.961147,0.000000,2.037581
0.067000,10014.740000,10015.671884,220.000000,218.963185,0.000000,2.037581
0.068000,10014.960000,10015.890848,220.000000,218.965222,0.000000,2.037581
0.069000,10015.180000,10016.109814,220.000000,218.967260,0.000000,2.037581
0.070000,10015.400000,10016.328782,220.000000,218.969297,0.000000,2.037581
0.071000,10015.620000,10016.547753,220.000000,218.971335,0.000000,2.037581
0.072000,10015.840000,10016.766725,220.000000,218.973373,0.000000,2.037581
0.073000,10016.060000,10016.985700,220.000000,218.975410,0.000000,2.037581
0.074000,10016.280000,10017.204676,220.000000,218.977448,0.000000,2.037581
0.075000,10016.500000,10017.423654,220.000000,218.979485,0.000000,2.037581
0.076000,10016.720000,10017.642635,220.000000,218.981523,0.000000,2.037581
0.077000,10016.940000,10017.861617,220.000000,218.983561,0.000000,2.037581
0.078000,10017.160000,10018.080602,220.000000,218.985598,0.000000,2.037581
0.079000,10017.380000,10018.299589,220.000000,218.987636,0.000000,2.037581
0.080000,10017.600000,10018.518577,220.000000,218.989673,0.000000,2.037581
0.081000,10017.820000,10018.737568,220.000000,218.991711,0.000000,2.037581
0.082000,10018.040000,10018.956561,220.000000,218.993748,0.000000,2.037581
0.083000,10018.260000,10019.175555,220.000000,218.995786,0.000000,2.037581
0.084000,10018.480000,10019.394552,220.000000,218.997824,0.000000,2.037581
0.085000,10018.700000,10019.613551,220.000000,218.999861,0.000000,2.037581
0.086000,10018.920000,10019.832552,220.000000,219.001899,0.000000,2.037581
0.087000,10019.140000,10020.051555,220.000000,219.003936,0.000000,2.037581
0.088000,10019.360000,10020.270560,220.000000,219.005974,0.000000,2.037581
0.089000,10019.580000,10020.489567,220.000000,219.008012,0.000000,2.037581
0.090000,10019.800000,10020.708576,220.000000,219.010049,0.000000,2.037581
0.091000,10020.020000,10020.927587,220.000000,219.012087,0.000000,2.037581
0.092000,10020.240000,10021.146600,220.000000,219.014124,0.000000,2.037581
0.093000,10020.460000,10021.365615,220.000000,219.016162,0.000000,2.037581
0.094000,10020.680000,10021.584632,220.000000,219.018199,0.000000,2.037581
0.095000,10020.900000,10021.803652,220.000000,219.020237,0.000000,2.037581
0.096000,10021.120000,10022.022673,220.000000,219.022275,0.000000,2.037581
0.097000,10021.340000,10022.241696,220.000000,219.024312,0.000000,2.037581
0.098000,10021.560000,10022.460722,220.000000,219.026350,0.000000,2.037581
0.099000,10021.780000,10022.679749,220.000000,219.028387,0.000000,2.037581
0.100000,10022.000000,10023.438262,220.000000,219.444100,0.000000,3.933335
0.101000,10022.220000,10023.657708,220.000000,219.448034,0.000000,3.933335
0.102000,10022.440000,10023.877158,220.000000,219.451967,0.000000,3.933335
0.103000,10022.660000,10024.096612,220.000000,219.455900,0.000000,3.933335
0.104000,10022.880000,10024.316070,220.000000,219.459834,0.000000,3.933335
0.105000,10023.100000,10024.535531,220.000000,219.463767,0.000000,3.933335
0.106000,10023.320000,10024.754997,220.000000,219.467700,0.000000,3.933335
0.107000,10023.540000,10024.974467,220.000000,219.471634,0.000000,3.933335
0.108000,10023.760000,10025.193940,220.000000,219.475567,0.000000,3.933335
0.109000,10023.980000,10025.413418,220.000000,219.479500,0.000000,3.933335
0.110000,10024.200000,10025.632899,220.000000,219.483434,0.000000,3.933335
0.111000,10024.420000,10025.852385,220.000000,219.487367,0.000000,3.933335
0.112000,10024.640000,10026.071874,220.000000,219.491300,0.000000,3.933335
0.113000,10024.860000,10026.291367,220.000000,219.495234,0.000000,3.933335
0.114000,10025.080000,10026.510865,220.000000,219.499167,0.000000,3.933335
0.115000,10025.300000,10026.730366,220.000000,219.503101,0.000000,3.933335
0.116000,10025.520000,10026.949871,220.000000,219.507034,0.000000,3.933335
0.117000,10025.740000,10027.169380,220.000000,219.510967,0.000000,3.933335
0.118000,10025.960000,10027.388893,220.000000,219.514901,0.000000,3.933335
0.119000,10026.180000,10027.608410,220.000000,219.518834,0.000000,3.933335
0.120000,10026.400000,10027.827930,220.000000,219.522767,0.000000,3.933335
0.121000,10026.620000,10028.047455,220.000000,219.526701,0.000000,3.933335
0.122000,10026.840000,10028.266984,220.000000,219.530634,0.000000,3.933335
0.123000,10027.060000,10028.486516,220.000000,219.534567,0.000000,3.933335
0.124000,10027.280000,10028.706053,220.000000,219.538501,0.000000,3.933335
0.125000,10027.500000,10028.925593,220.000000,219.542434,0.000000,3.933335
0.126000,10027.720000,10029.145138,220.000000,219.546367,0.000000,3.933335
0.127000,10027.940000,10029.364686,220.000000,219.550301,0.000000,3.933335
0.128000,10028.160000,10029.584238,220.000000,219.554234,0.000000,3.933335
0.129000,10028.380000,10029.803795,220.000000,219.558167,0.000000,3.933335
0.130000,10028.600000,10030.023355,220.000000,219.562101,0.000000,3.933335
0.131000,10028.820000,10030.242919,220.000000,219.566034,0.000000,3.933335
0.132000,10029.040000,10030.462487,220.000000,219.569967,0.000000,3.933335
0.133000,10029.260000,10030.682059,220.000000,219.573901,0.000000,3.933335
0.134000,10029.480000,10030.901635,220.000000,219.577834,0.000000,3.933335
0.135000,10029.700000,10031.121214,220.000000,219.581767,0.000000,3.933335
0.136000,10029.920000,10031.340798,220.000000,219.585701,0.000000,3.933335
0.137000,10030.140000,10031.560386,220.000000,219.589634,0.000000,3.933335
0.138000,10030.360000,10031.779977,220.000000,219.593567,0.000000,3.933335
